User_ID,Profile_ID,Profile_Type,Age_Group,Gender,Country,Region,City,Language,Interface_Language,Subscription_Plan,Monthly_Fee_USD,Signup_Date,Last_Payment_Date,Payment_Method,Account_Age_Days,Is_Free_Trial,Trial_Converted,Profiles_Count,Simultaneous_Streams_Allowed,Content_ID,Title,Content_Type,Genre,Original_Language,Content_Origin,Release_Year,Age_Rating,Season_Count,Episode_Count,Watch_Date,Day_of_Week,Watch_Start_Hour,Watch_Duration_Min,Content_Duration_Min,Completion_Rate_Pct,Watch_Status,Rewatched,Subtitles_Used,Audio_Language,Rating_Given,Thumbs_Up_Count,Thumbs_Down_Count,Added_To_Watchlist,Shared_Content,Downloaded_Offline,Notification_Pref,Autoplay_Enabled,Skip_Intro_Used,Skip_Recap_Used,Device_Type,Platform,Stream_Quality,Audio_Quality,Buffering_Events,Avg_Bitrate_Mbps,Data_Used_GB,Connection_Type,HDR_Enabled,Dolby_Enabled,Director,Lead_Actor,Content_Mood,IMDB_Rating,Rotten_Tomatoes_Score,Netflix_Score,Global_Rank,Country_Rank,Views_First_Week_M,Total_Views_M,Segment,Churn_Risk,Satisfaction,NPS_Score,Days_Since_Last_Watch,Avg_Weekly_Watch_Hours,Monthly_Sessions,Content_Explored_Count,Search_Count,Recommendation_Clicked,Revenue_USD,Discount_Applied,Discount_Amount_USD,Ad_Revenue_USD,Affiliate_Revenue_USD,LTV_USD,Cost_To_Serve_USD,Gross_Margin_USD,Refund_Issued,Refund_Amount_USD,Referral_Source,Campaign_ID,Promo_Code_Used,Promo_Code,Cancel_Reason,Reactivated,Reactivation_Date,Support_Tickets,Avg_Resolution_Hours,Fiscal_Quarter
USR748564,PRF479201,Adult,55+,Female,USA,South Asia,Mumbai,Hindi,English,Basic,2.4,2023-04-05,2024-02-22,PayPal,323,Yes,No,1,1,CNT338968,Stranger Things,Series,Action,Korean,Licensed,2023,U,5,30,2024-07-28,Sunday,6,112,159,70.4,In Progress,Yes,Always,Portuguese,1.9,142,58,No,Yes,No,Recommendations Only,Yes,No,Yes,Gaming Console,Web,Dolby Vision,Dolby Atmos,2,5.78,1.35,4G,Yes,No,Scott Stuber,Claire Foy,Light-Hearted,7.7,91,60,195,11,105.0,461.2,Re-Activated,High,Very Satisfied,-42,26,1.8,21,103,17,Yes,0.6,Yes,0.92,0.19,0.85,105.6,1.16,-0.56,Yes,2.02,Word of Mouth,CMP694731,Yes,NF5803,Not Applicable,Yes,2024-01-23,5,15.4,FY2024-Q3
USR575763,PRF103402,Shared,55+,Non-Binary,Brazil,South Asia,Karachi,Italian,Japanese,Basic,2.4,2017-10-07,2024-10-14,Debit Card,2564,No,Yes,5,1,CNT632342,Delhi Crime,Reality Show,Romance,Korean,Netflix Original,2017,U/A 13+,1,1,2024-06-05,Wednesday,15,8,43,18.6,Dropped,Yes,Always,Japanese,4.4,390,20,Yes,No,No,All,Yes,No,No,Mobile,Android,720p,Dolby Atmos,7,13.46,0.22,WiFi,Yes,No,Ryan Murphy,Pankaj Tripathi,Intense,5.7,50,87,153,5,58.3,382.7,Casual Viewer,Very High,Very Dissatisfied,-58,8,21.3,39,109,13,Yes,0.7,Yes,3.56,0.23,0.88,129.6,1.17,-0.47,No,0,TV Ad,CMP426858,No,None,Content Not Interesting,Yes,2023-10-28,3,47.8,FY2024-Q2
USR522179,PRF863587,Adult,45-54,Non-Binary,Germany,South Asia,Bangalore,Hindi,Hindi,Basic,2.4,2015-09-20,2024-06-22,Debit Card,3198,Yes,Yes,5,1,CNT299448,Dark,Movie,Comedy,English,Co-Production,2018,U/A 16+,1,1,2023-03-11,Saturday,1,14,104,13.5,Dropped,Yes,Sometimes,Spanish,3.1,142,59,Yes,Yes,No,None,Yes,Yes,Yes,Smart TV,Tizen,720p,Surround 5.1,9,12.08,0.35,3G,No,Yes,Scott Stuber,Jitendra Kumar,Feel Good,6.3,71,73,139,9,108.8,979.2,Casual Viewer,Very High,Very Satisfied,-1,8,37.1,51,117,18,No,0.61,No,0,0.38,0.1,79.2,1.39,-0.78,No,0,TV Ad,CMP865990,Yes,NF2612,Too Expensive,No,Not Applicable,4,31.9,FY2023-Q1
USR888387,PRF176066,Adult,25-34,Male,UK,Latin America,Mexico City,German,Portuguese,Mobile,1.8,2023-05-22,2024-06-09,Gift Card,384,Yes,Yes,5,1,CNT204837,Breaking Bad,Mini-Series,Drama,Italian,Netflix Original,2016,A,7,49,2023-03-12,Sunday,19,20,37,54.1,In Progress,Yes,Never,French,2.6,67,44,Yes,Yes,No,Recommendations Only,Yes,No,No,Gaming Console,Android,Dolby Vision,Surround 5.1,10,14.8,0.62,Fiber,Yes,Yes,Martin Scorsese,Álvaro Morte,Dark,9.2,76,75,149,39,6.9,15.2,Re-Activated,Medium,Neutral,-28,19,8.8,22,53,43,No,0.35,No,0,0.41,0.72,37.8,1.16,-0.81,Yes,1.54,Partner Deal,CMP612262,No,None,Found Alternative,No,Not Applicable,2,43.5,FY2023-Q1
USR288073,PRF872343,Shared,55+,Non-Binary,India,Africa,Lagos,Portuguese,Japanese,Mobile,1.8,2015-01-15,2024-06-19,PayPal,3443,Yes,No,2,1,CNT870763,Don't Look Up,Talk Show,Animation,Portuguese,Netflix Original,2023,U/A 13+,1,1,2023-01-10,Tuesday,3,14,39,35.9,In Progress,Yes,Never,Hindi,3.2,195,4,No,Yes,Yes,Recommendations Only,No,No,Yes,Mobile,Android,720p,Surround 5.1,0,22.52,0.66,5G,No,Yes,Martin Scorsese,Phoebe Dynevor,Romantic,8.8,77,95,38,28,20.0,82.4,Re-Activated,High,Very Satisfied,-71,28,38.8,12,149,16,Yes,0.23,Yes,3.5,0.71,0.56,57.6,2.93,-2.7,Yes,1.74,Social Media,CMP725550,Yes,NF7755,Too Expensive,Yes,2023-06-16,3,16.9,FY2023-Q1
USR674553,PRF974224,Adult,45-54,Male,Brazil,Africa,Cape Town,French,Spanish,Premium,7.82,2021-06-19,2024-04-07,Debit Card,1023,No,Yes,1,4,CNT550770,Red Notice,Reality Show,Drama,Italian,Co-Production,2023,A,1,1,2024-12-04,Wednesday,23,51,70,72.9,In Progress,No,Sometimes,German,2.7,226,86,Yes,No,Yes,None,Yes,No,No,Smart TV,Tizen,1080p,Stereo,4,12.92,1.37,4G,Yes,Yes,Shonda Rhimes,Lee Jung-jae,Funny,9.3,98,81,160,21,99.8,255.4,Churned,Low,Dissatisfied,6,28,25.4,13,184,44,No,1.77,No,0,0.8,0.3,109.48,0.98,0.79,No,0,App Store,CMP519066,No,None,Technical Issues,Yes,2024-09-22,1,7.5,FY2024-Q4
USR342495,PRF501641,Shared,35-44,Female,India,South Asia,Mumbai,Korean,English,Mobile,1.8,2021-04-02,2024-05-07,Net Banking,1131,Yes,No,2,1,CNT527398,Marriage Story,Talk Show,Animation,Italian,Licensed,2024,A,1,1,2023-11-21,Tuesday,14,134,176,76.1,In Progress,No,Sometimes,English,2.7,105,53,No,Yes,No,Recommendations Only,Yes,No,No,Tablet,Roku,Dolby Vision,Dolby Atmos,10,7.29,2.04,Fiber,Yes,No,Alfonso Cuarón,Claire Foy,Romantic,9.1,68,70,191,31,68.1,537.3,Power User,Low,Dissatisfied,-14,21,27.3,26,186,10,No,0.45,No,0,1.25,0.27,18.0,2.28,-1.83,Yes,1.22,Word of Mouth,CMP752483,Yes,NF3267,Content Not Interesting,No,Not Applicable,4,1.8,FY2023-Q4
USR275939,PRF735324,Kids,55+,Male,Mexico,Latin America,Lima,Spanish,Spanish,Premium,7.82,2016-07-09,2024-08-24,Credit Card,2968,Yes,Yes,3,4,CNT706794,Mirzapur,Anime,Action,German,Netflix Original,2020,U/A 13+,3,36,2024-01-24,Wednesday,8,37,127,29.1,In Progress,No,Sometimes,Korean,4.3,38,75,Yes,Yes,No,None,Yes,Yes,No,Gaming Console,Roku,1080p,Stereo,10,1.49,0.11,Broadband,No,Yes,Scott Stuber,Shefali Shah,Funny,7.1,87,94,14,23,34.4,71.7,New User,Very High,Neutral,62,28,33.2,46,40,27,Yes,0.68,Yes,1.4,0.04,0.15,109.48,1.68,-1.0,Yes,4.85,TV Ad,CMP647091,No,None,Found Alternative,Yes,2024-04-21,5,13.3,FY2024-Q1
USR197573,PRF408528,Shared,35-44,Female,Germany,Africa,Addis Ababa,Portuguese,Korean,Standard,6.01,2017-10-02,2024-02-14,Debit Card,2326,No,Yes,4,2,CNT421080,Dark,Talk Show,Crime,Tamil,Co-Production,2021,A,1,1,2023-12-11,Monday,0,88,146,60.3,In Progress,No,Sometimes,Italian,1.7,271,44,No,No,No,None,No,No,No,Laptop,Tizen,480p,Dolby Atmos,4,14.12,2.59,4G,No,Yes,Jenji Kohan,Pankaj Tripathi,Intense,6.0,91,76,88,18,132.2,986.2,Casual Viewer,Medium,Dissatisfied,-30,23,23.8,49,135,38,No,1.16,Yes,0.89,1.44,0.49,324.54,1.1,0.06,No,0,Social Media,CMP973074,No,None,Too Expensive,No,Not Applicable,1,14.6,FY2023-Q4
USR411797,PRF717113,Teen,13-17,Prefer Not to Say,Spain,Asia Pacific,Seoul,French,Portuguese,Basic,2.4,2018-01-28,2024-01-24,Gift Card,2187,Yes,No,2,1,CNT163156,Bird Box,Talk Show,Comedy,English,Co-Production,2024,U,1,1,2023-10-19,Thursday,15,117,142,82.4,In Progress,Yes,Never,Korean,2.4,135,84,Yes,Yes,Yes,All,Yes,Yes,Yes,Tablet,Fire TV,Dolby Vision,Surround 5.1,10,17.32,4.22,5G,Yes,Yes,Martin Scorsese,Nawazuddin Siddiqui,Thought-Provoking,9.3,56,90,30,5,60.7,129.3,Re-Activated,Very High,Very Satisfied,75,7,37.0,51,161,37,Yes,0.27,No,0,0.17,0.25,98.4,2.41,-2.14,Yes,2.09,App Store,CMP220351,No,None,Technical Issues,No,Not Applicable,4,11.2,FY2023-Q4
